Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.HelpersLib.ConvolutionMatrix.ConvolutionMatrix();1.0;1.0;0;0.0;0.0;7;1;2.0;0.0
ShareX.HelpersLib.ConvolutionMatrix.ConvolutionMatrix(Int32);4.0;1.0;1;0.0;0.0;1;4;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrix.SetAll(Int32);7.0;3.0;1;4.0;2.0;5;2;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.Apply(ConvolutionMatrix,Image);44.0;9.0;2;20.0;3.0;7;8;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.Smooth(Int32);5.0;1.0;1;2.0;0.0;1;4;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.GaussianBlur(Int32);6.0;1.0;1;3.0;0.0;1;4;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.MeanRemoval(Int32);5.0;1.0;1;2.0;0.0;1;4;1.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.Sharpen(Int32);6.0;1.0;1;3.0;0.0;1;4;2.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.Emboss();6.0;1.0;0;3.0;0.0;1;4;2.0;0.0
ShareX.HelpersLib.ConvolutionMatrixManager.EdgeDetect();6.0;1.0;0;3.0;0.0;1;3;2.0;0.0
ShareX.HelpersLib.AdapterInfo.AdapterInfo(ManagementObject);2.0;1.0;1;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.AdapterInfo.GetEnabledAdapters();11.0;3.0;0;7.0;2.0;1;1;1.0;1.0
ShareX.HelpersLib.AdapterInfo.IsEnabled();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.AdapterInfo.GetCaption();1.0;1.0;0;1.0;0.0;0;0;1.0;0.0
ShareX.HelpersLib.AdapterInfo.GetDescription();1.0;1.0;0;1.0;0.0;1;0;1.0;7.0
ShareX.HelpersLib.AdapterInfo.GetDNS();1.0;1.0;0;1.0;0.0;1;0;1.0;1.0
ShareX.HelpersLib.AdapterInfo.SetDNS(String,String);6.0;3.0;2;4.0;2.0;2;0;4.0;0.0
ShareX.HelpersLib.AdapterInfo.SetDNSAutomatic();1.0;1.0;0;1.0;0.0;1;1;2.0;0.0
ShareX.HelpersLib.AdapterInfo.Dispose();2.0;2.0;0;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.AdapterInfo.ToString();1.0;1.0;0;1.0;0.0;0;1;1.0;7.0
ShareX.HelpersLib.DNSChangerForm.DNSChangerForm();19.0;3.0;0;3.0;1.0;2;5;8.0;1.0
ShareX.HelpersLib.DNSChangerForm.AddDNS(String,String,String);1.0;1.0;3;0.0;0.0;1;1;1.0;8.0
ShareX.HelpersLib.DNSChangerForm.cbAdapters_SelectedIndexChanged(Object,EventArgs);10.0;4.0;2;4.0;2.0;1;2;3.0;1.0
