Method_Parsed;Previous_Method_Parsed;ChgLines
ShareX.HotkeySettingsForm.flpHotkeys_Layout(Object,LayoutEventArgs);ShareX.HotkeySettingsForm.flpHotkeys_Layout(Object,LayoutEventArgs);0
ShareX.HotkeySettingsForm.UpdateHotkeyStatus();ShareX.HotkeySettingsForm.UpdateHotkeyStatus();0
ShareX.HotkeySettingsForm.HandleHotkeysToggle(Boolean);ShareX.HotkeySettingsForm.HandleHotkeysToggle(Boolean);0
ShareX.HotkeySettingsForm.btnMoveUp_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnMoveUp_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.btnMoveDown_Click(Object,EventArgs);ShareX.HotkeySettingsForm.btnMoveDown_Click(Object,EventArgs);0
ShareX.HotkeySettingsForm.RegisterFailedHotkeys();;0
ShareX.MainForm.Dispose(Boolean);ShareX.MainForm.Dispose(Boolean);0
ShareX.MainForm.InitializeComponent();ShareX.MainForm.InitializeComponent();1234
ShareX.MainForm.MainForm();ShareX.MainForm.MainForm();0
ShareX.MainForm.MainForm_HandleCreated(Object,EventArgs);ShareX.MainForm.MainForm_HandleCreated(Object,EventArgs);7
ShareX.MainForm.AfterShownJobs();ShareX.MainForm.AfterShownJobs();0
ShareX.MainForm.UpdateDestinationStates();ShareX.MainForm.UpdateDestinationStates();0
ShareX.MainForm.SetEnumChecked(Enum,ToolStripDropDownItem[]);ShareX.MainForm.SetEnumChecked(Enum,ToolStripDropDownItem[]);0
ShareX.MainForm.SetMultiEnumChecked(Enum,ToolStripDropDownItem[]);ShareX.MainForm.SetMultiEnumChecked(Enum,ToolStripDropDownItem[]);0
ShareX.MainForm.EnableDisableToolStripMenuItems<T>(ToolStripDropDownItem[]);ShareX.MainForm.EnableDisableToolStripMenuItems<T>(ToolStripDropDownItem[]);1
ShareX.MainForm.UpdateInfoManager();ShareX.MainForm.UpdateContextMenu();53
ShareX.MainForm.CleanCustomClipboardFormats();ShareX.MainForm.CleanCustomClipboardFormats();0
ShareX.MainForm.tsmiClipboardFormat_Click(Object,EventArgs);ShareX.MainForm.tsmiClipboardFormat_Click(Object,EventArgs);0
ShareX.MainForm.UpdateControls();ShareX.MainForm.UpdateControls();43
ShareX.MainForm.AfterApplicationSettingsJobs();ShareX.MainForm.AfterSettingsJobs();84
ShareX.MainForm.UpdateCheckStates();ShareX.MainForm.UpdateCheckStates();0
ShareX.MainForm.UpdateUploaderMenuNames();ShareX.MainForm.UpdateUploaderMenuNames();0
ShareX.MainForm.GetSelectedTasks();ShareX.MainForm.GetCurrentTasks();1
ShareX.MainForm.RemoveAllItems();ShareX.MainForm.RemoveSelectedItems();1
ShareX.MainForm.RemoveAllItems();ShareX.MainForm.RemoveAllItems();0
ShareX.MainForm.UpdateMainWindowLayout();ShareX.MainForm.UpdateMainWindowLayout();15
ShareX.MainForm.SetVisibleCore(Boolean);ShareX.MainForm.SetVisibleCore(Boolean);0
ShareX.MainForm.MainForm_Shown(Object,EventArgs);ShareX.MainForm.MainForm_Shown(Object,EventArgs);0
ShareX.MainForm.MainForm_SizeChanged(Object,EventArgs);ShareX.MainForm.MainForm_SizeChanged(Object,EventArgs);0
ShareX.MainForm.MainForm_FormClosing(Object,FormClosingEventArgs);ShareX.MainForm.MainForm_FormClosing(Object,FormClosingEventArgs);8
ShareX.MainForm.MainForm_FormClosed(Object,FormClosedEventArgs);ShareX.MainForm.MainForm_FormClosed(Object,FormClosedEventArgs);0
ShareX.MainForm.MainForm_DragEnter(Object,DragEventArgs);ShareX.MainForm.MainForm_DragEnter(Object,DragEventArgs);0
ShareX.MainForm.MainForm_DragDrop(Object,DragEventArgs);ShareX.MainForm.MainForm_DragDrop(Object,DragEventArgs);0
ShareX.MainForm.tsbClipboardUpload_Click(Object,EventArgs);ShareX.MainForm.tsbClipboardUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsbFileUpload_Click(Object,EventArgs);ShareX.MainForm.tsbFileUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsddbDestinations_DropDownOpened(Object,EventArgs);ShareX.MainForm.tsddbDestinations_DropDownOpened(Object,EventArgs);0
ShareX.MainForm.tsmiShowDebugLog_Click(Object,EventArgs);ShareX.MainForm.tsmiShowDebugLog_Click(Object,EventArgs);12
ShareX.MainForm.tsmiTestImageUpload_Click(Object,EventArgs);ShareX.MainForm.tsmiTestImageUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsmiTestTextUpload_Click(Object,EventArgs);ShareX.MainForm.tsmiTestTextUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsmiTestFileUpload_Click(Object,EventArgs);ShareX.MainForm.tsmiTestFileUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsmiTestURLShortener_Click(Object,EventArgs);ShareX.MainForm.tsmiTestURLShortener_Click(Object,EventArgs);0
ShareX.MainForm.tsmiImageEffects_Click(Object,EventArgs);ShareX.MainForm.tsmiImageEffects_Click(Object,EventArgs);0
ShareX.MainForm.tsmiScreenRecordingGIF_Click(Object,EventArgs);ShareX.MainForm.tsmiScreenRecordingGIF_Click(Object,EventArgs);0
ShareX.MainForm.tsmiAutoCapture_Click(Object,EventArgs);ShareX.MainForm.tsmiAutoCapture_Click(Object,EventArgs);0
ShareX.MainForm.tsbApplicationSettings_Click(Object,EventArgs);ShareX.MainForm.tsbApplicationSettings_Click(Object,EventArgs);6
ShareX.MainForm.tsbTaskSettings_Click(Object,EventArgs);ShareX.MainForm.tsbTaskSettings_Click(Object,EventArgs);6
ShareX.MainForm.tsbHotkeySettings_Click(Object,EventArgs);ShareX.MainForm.tsbHotkeySettings_Click(Object,EventArgs);3
ShareX.MainForm.tsmiDestinationSettings_Click(Object,EventArgs);ShareX.MainForm.tsbDestinationSettings_Click(Object,EventArgs);0
ShareX.MainForm.tsmiColorPicker_Click(Object,EventArgs);ShareX.MainForm.tsmiColorPicker_Click(Object,EventArgs);1
ShareX.MainForm.tsmiHashCheck_Click(Object,EventArgs);ShareX.MainForm.tsmiHashCheck_Click(Object,EventArgs);0
ShareX.MainForm.tsmiIndexFolder_Click(Object,EventArgs);ShareX.MainForm.tsmiIndexFolder_Click(Object,EventArgs);0
ShareX.MainForm.tsbScreenshotsFolder_Click(Object,EventArgs);ShareX.MainForm.tsbScreenshotsFolder_Click(Object,EventArgs);0
ShareX.MainForm.tsbHistory_Click(Object,EventArgs);ShareX.MainForm.tsbHistory_Click(Object,EventArgs);0
ShareX.MainForm.tsbImageHistory_Click(Object,EventArgs);ShareX.MainForm.tsbImageHistory_Click(Object,EventArgs);0
ShareX.MainForm.tsbAbout_Click(Object,EventArgs);ShareX.MainForm.tsbAbout_Click(Object,EventArgs);0
ShareX.MainForm.tsbDonate_Click(Object,EventArgs);ShareX.MainForm.tsbDonate_Click(Object,EventArgs);0
ShareX.MainForm.lblListViewTip_MouseUp(Object,MouseEventArgs);ShareX.MainForm.lblDragAndDropTip_MouseUp(Object,MouseEventArgs);10
ShareX.MainForm.lvUploads_SelectedIndexChanged(Object,EventArgs);ShareX.MainForm.lvUploads_SelectedIndexChanged(Object,EventArgs);3
ShareX.MainForm.lvUploads_MouseUp(Object,MouseEventArgs);ShareX.MainForm.lvUploads_MouseUp(Object,MouseEventArgs);1
ShareX.MainForm.lvUploads_MouseDoubleClick(Object,MouseEventArgs);ShareX.MainForm.lvUploads_MouseDoubleClick(Object,MouseEventArgs);0
ShareX.MainForm.scMain_SplitterMoved(Object,SplitterEventArgs);ShareX.MainForm.scMain_SplitterMoved(Object,SplitterEventArgs);0
ShareX.MainForm.lvUploads_KeyDown(Object,KeyEventArgs);ShareX.MainForm.lvUploads_KeyDown(Object,KeyEventArgs);6
ShareX.MainForm.niTray_BalloonTipClicked(Object,EventArgs);ShareX.MainForm.niTray_BalloonTipClicked(Object,EventArgs);6
ShareX.MainForm.tsmiTrayExit_MouseDown(Object,MouseEventArgs);ShareX.MainForm.tsmiTrayExit_MouseDown(Object,MouseEventArgs);0
ShareX.MainForm.tsmiOpenURL_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenShortenedURL_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenShortenedURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenThumbnailURL_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenThumbnailURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenDeletionURL_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenDeletionURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenFile_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenFile_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenFolder_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenFolder_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyURL_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyShortenedURL_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyShortenedURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyThumbnailURL_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyThumbnailURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyDeletionURL_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyDeletionURL_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyFile_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyFile_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyText_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyText_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyHTMLLink_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyHTMLLink_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyHTMLImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyHTMLImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyHTMLLinkedImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyHTMLLinkedImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyForumLink_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyForumLink_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyForumImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyForumImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyForumLinkedImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyForumLinkedImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyFilePath_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyFilePath_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyFileName_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyFileName_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyFileNameWithExtension_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyFileNameWithExtension_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyFolder_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyFolder_Click(Object,EventArgs);0
ShareX.MainForm.tsmiShowErrors_Click(Object,EventArgs);ShareX.MainForm.tsmiShowErrors_Click(Object,EventArgs);0
ShareX.MainForm.tsmiShowResponse_Click(Object,EventArgs);ShareX.MainForm.tsmiShowResponse_Click(Object,EventArgs);0
ShareX.MainForm.tsmiUploadSelectedFile_Click(Object,EventArgs);ShareX.MainForm.tsmiUploadSelectedFile_Click(Object,EventArgs);0
ShareX.MainForm.tsmiHideMenu_Click(Object,EventArgs);ShareX.MainForm.tsmiHideMenu_Click(Object,EventArgs);0
ShareX.MainForm.tsmiImagePreviewHide_Click(Object,EventArgs);ShareX.MainForm.tsmiImagePreviewHide_Click(Object,EventArgs);3
ShareX.MainForm.tsmiMonitorTest_Click(Object,EventArgs);ShareX.MainForm.tsmiMonitorTest_Click(Object,EventArgs);0
ShareX.MainForm.tsmiTrayShow_Click(Object,EventArgs);ShareX.MainForm.tsmiTrayShow_Click(Object,EventArgs);0
ShareX.MainForm.tsmiDNSChanger_Click(Object,EventArgs);ShareX.MainForm.tsmiDNSChanger_Click(Object,EventArgs);0
ShareX.MainForm.tsbDragDropUpload_Click(Object,EventArgs);ShareX.MainForm.tsbDragDropUpload_Click(Object,EventArgs);0
ShareX.MainForm.tsmiRuler_Click(Object,EventArgs);ShareX.MainForm.tsmiRuler_Click(Object,EventArgs);0
ShareX.MainForm.tsmiOpenThumbnailFile_Click(Object,EventArgs);ShareX.MainForm.tsmiOpenThumbnailFile_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyThumbnailImage_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyThumbnailImage_Click(Object,EventArgs);0
ShareX.MainForm.tsmiCopyThumbnailFile_Click(Object,EventArgs);ShareX.MainForm.tsmiCopyThumbnailFile_Click(Object,EventArgs);0
